config,label,mean_acc,std_acc,mean_f1_fire,std_f1_fire,n_seeds,mean_trainable_pct
freeze_patch_blocks0-8,Freeze patch+0-8,0.9932088,0.0016164478649186092,0.99344,0.001563009916795151,5,24.79
freeze_patch_blocks0-5,Freeze patch+0-5,0.9910017999999999,0.0012152512908859918,0.9913000000000001,0.0011789826122551499,5,49.57
freeze_patch_blocks0-3,Freeze patch+0-3,0.9869269999999999,0.002213892386725214,0.9873800000000001,0.002153369452741452,5,66.09
freeze_patch_blocks0-11,Freeze patch+0-11,0.9832766000000002,0.000827348959025189,0.9837400000000001,0.0008324662155306968,5,0.0
freeze_patch,Freeze patch,0.9640916,0.0026946416830443327,0.96542,0.002605187133393685,5,99.13
freeze_none,Freeze none,0.9360782000000001,0.05445891588803437,0.9386199999999999,0.05163721526186321,5,100.0
