config,label,mean_acc,std_acc,mean_f1_fire,std_f1_fire,n_seeds,mean_trainable_pct
freeze_conv1_layer1-3,Freeze conv1+L1-3,0.9872665999999999,0.0026505613179098417,0.9876400000000001,0.002582247083452704,5,63.65999999999999
freeze_conv1_layer1-2,Freeze conv1+L1-2,0.987012,0.0012228511765541837,0.9874400000000001,0.00118237050030859,5,93.85
freeze_conv1_layer1,Freeze conv1+L1,0.9856536,0.0022736249250920686,0.98612,0.0022117866081518486,5,99.04
freeze_conv1,Freeze conv1,0.9853988000000001,0.0018405996848853121,0.9858800000000001,0.0017626684316683022,5,99.96
freeze_conv1_layer1-4,Freeze conv1+L1-4,0.9662986,0.0038036154905563024,0.96724,0.0038292296875481325,5,0.02
freeze_none,Freeze none,0.9650256,0.04950093704466614,0.9678599999999999,0.04403479306185054,5,100.0
