config_1,config_2,mean_1,mean_2,t_statistic,p_value,cohens_d,significant
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-3 (BN frozen),0.6902378,0.5286924000000001,10.867258923788635,4.553183139937254e-06,6.873058024392452,True
Freeze backbone+proj+transformer,Freeze blocks 0-5,0.68455,0.982428,-25.5546120395341,5.638180534308782e-06,-16.162155753377714,True
Freeze backbone+proj+blocks 0-5,Freeze backbone+proj+blocks 0-11,0.9641766,0.6902378,25.223745950215434,5.933681524670818e-06,15.952897664825779,True
Freeze backbone+proj+blocks 0-8,Freeze backbone+proj+blocks 0-11,0.924703,0.6902378,21.169688261065318,6.834604144975669e-06,13.388886452139127,True
Freeze transformer+proj,Freeze backbone+proj+blocks 0-11,0.9852292,0.6902378,27.66808441176527,7.716406302048342e-06,17.498833046995657,True
Freeze backbone,Freeze backbone+proj+blocks 0-11,0.9882002,0.6902378,28.02683002119355,8.11936209340039e-06,17.725723692271366,True
Freeze transformer+proj,Freeze backbone+proj+blocks 0-8,0.9852292,0.924703,17.167245931559727,8.15190042335186e-06,10.857519659197564,True
Freeze backbone+proj+transformer,Freeze backbone+proj+blocks 0-5,0.68455,0.9641766,-24.06554344201706,8.187101848091231e-06,-15.22038608130044,True
Freeze backbone+proj+blocks 0-3,Freeze backbone+proj+blocks 0-11,0.9747876,0.6902378,26.61458205538489,8.19758619732208e-06,16.832539653692372,True
Freeze backbone+proj+transformer,Freeze blocks 0-3 (BN frozen),0.68455,0.5286924000000001,10.101884298629267,8.277649635741579e-06,6.38899260863221,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-8,0.6902378,0.9876061999999999,-28.01562045493262,8.61599601087637e-06,-17.718634140077942,True
Freeze backbone+proj,Freeze backbone+proj+blocks 0-11,0.9875212000000001,0.6902378,28.0273362601988,8.823267651557012e-06,17.72604386593077,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-11,0.6902378,0.9878608,-28.088595400159615,9.081916599244215e-06,-17.76478754788661,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-3,0.924703,0.9822579999999999,-10.591840798184533,9.44965231739111e-06,-6.698868307231793,True
Freeze transformer+proj,Freeze backbone+proj+transformer,0.9852292,0.68455,26.296928580965368,9.847393026856864e-06,16.631637956526028,True
Freeze backbone+proj+transformer,Freeze backbone+proj+blocks 0-8,0.68455,0.924703,-20.316258300568318,9.954576014110431e-06,-12.849129952419519,True
Freeze backbone,Freeze backbone+proj+transformer,0.9882002,0.68455,26.62290178757912,1.0226248847620244e-05,16.837801514343653,True
Freeze backbone+proj+transformer,Freeze backbone+proj+blocks 0-3,0.68455,0.9747876,-25.32236528070428,1.0565092334886237e-05,-16.015270005958907,True
Freeze backbone+proj+transformer,Freeze blocks 0-8,0.68455,0.9876061999999999,-26.607673013083613,1.0764690485947172e-05,-16.828169991667878,True
Freeze backbone+proj,Freeze backbone+proj+transformer,0.9875212000000001,0.68455,26.616476770588736,1.0985074470167159e-05,16.833737976804677,True
Freeze backbone+proj+transformer,Freeze blocks 0-11,0.68455,0.9878608,-26.670418923748006,1.1249961215397384e-05,-16.867853989980063,True
Freeze backbone,Freeze backbone+proj+blocks 0-8,0.9882002,0.924703,18.49910595026686,1.2184807400291953e-05,11.699861895923366,True
Freeze backbone+proj+blocks 0-3,Freeze backbone+proj+blocks 0-8,0.9747876,0.924703,13.856507084282876,1.3625780025822061e-05,8.763624560118526,True
Freeze backbone+proj+blocks 0-5,Freeze backbone+proj+blocks 0-8,0.9641766,0.924703,9.658248737209334,1.851715973837446e-05,6.108412843605308,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-8,0.924703,0.9876061999999999,-18.61269055168116,1.8828530880659172e-05,-11.771699105441678,True
Freeze backbone+proj,Freeze backbone+proj+blocks 0-8,0.9875212000000001,0.924703,18.717883121920185,2.2647886870091436e-05,11.838228728418192,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-11,0.924703,0.9878608,-19.017778846564607,2.9034159256796603e-05,-12.027899438502805,True
Freeze transformer,Freeze backbone+proj+blocks 0-8,0.9827674,0.924703,9.446374483006936,3.959129145889985e-05,5.9744117994394905,True
Freeze backbone+proj+blocks 0-11,Freeze blocks 0-8 (BN frozen),0.6902378,0.5171474,16.270513379838135,7.193632501278606e-05,10.290376196106571,True
Freeze backbone+proj+blocks 0-11,Freeze none (BN frozen),0.6902378,0.518251,16.254474161666856,8.382621735127963e-05,10.28023210384465,True
Freeze backbone+proj+transformer,Freeze blocks 0-8 (BN frozen),0.68455,0.5171474,14.6688827402498,0.00011125461365455506,9.277416037824292,True
Freeze backbone+proj+transformer,Freeze none (BN frozen),0.68455,0.518251,14.640797645933137,0.00012662063120053962,9.259653464556031,True
Freeze none,Freeze backbone+proj+blocks 0-8,0.976146,0.924703,8.019765870425756,0.00013239110097343178,5.072145290365637,True
Freeze backbone,Freeze backbone+proj+blocks 0-3,0.9882002,0.9747876,7.249706140054984,0.0001683008841303113,4.585116753896282,True
Freeze backbone,Freeze backbone+proj+blocks 0-5,0.9882002,0.9641766,9.04015934691348,0.00018695877709190957,5.717498789421373,True
Freeze transformer+proj,Freeze backbone+proj+blocks 0-5,0.9852292,0.9641766,7.581583899331194,0.0002489693229403627,4.79501467870946,True
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-8,0.9747876,0.9876061999999999,-7.324624774430443,0.00028162931844023516,-4.632499458659449,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-8,0.9641766,0.9876061999999999,-9.050392529535975,0.0002947639773916649,-5.72397082238128,True
Freeze backbone+proj,Freeze backbone+proj+blocks 0-5,0.9875212000000001,0.9641766,9.126133329043768,0.00035263891374795974,5.7718735100306375,True
Freeze backbone+proj,Freeze backbone+proj+blocks 0-3,0.9875212000000001,0.9747876,7.471986026686175,0.00035400139315649727,4.725698897855997,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-11,0.9641766,0.9878608,-9.429126278554582,0.0004301464382731958,-5.963503077115954,True
